sample_index,time,pressure
685800,27432.0,0.0001048176498413
685801,27432.04,0.0001035569610595
685802,27432.08,0.0001113012161254
685803,27432.12,0.0001147230987548
685804,27432.16,0.0001125619125366
685805,27432.2,0.0001109410171508
685806,27432.24,0.0001127420120239
685807,27432.28,0.0001143628997802
685808,27432.32,0.0001105808258056
685809,27432.36,9.635299682617187e-05
685810,27432.4,6.82575454711914e-05
685811,27432.44,2.791535377502441e-05
685812,27432.48,2.341287851333618e-06
685813,27432.52,-2.2512382507324216e-05
685814,27432.56,-4.592525863647461e-05
685815,27432.6,-7.816299438476562e-05
685816,27432.64,-0.0001116614151
685817,27432.68,-0.0001334533996582
685818,27432.72,-0.0001447996368408
685819,27432.76,-0.0001566861877441
685820,27432.8,-0.000158847366333
685821,27432.84,-0.0001523638000488
685822,27432.88,-0.0001458802337646
685823,27432.92,-0.0001307519226074
685824,27432.96,-0.0001186852798461
685825,27433.0,-0.0001066186447143
685826,27433.04,-8.428636169433594e-05
685827,27433.08,-6.303467178344726e-05
685828,27433.12,-4.934714126586914e-05
685829,27433.16,-3.6740207672119136e-05
685830,27433.2,-2.521386909484864e-05
685831,27433.24,-1.2787033081054688e-05
685832,27433.28,-7.203962206840515e-07
685833,27433.32,8.644754409790039e-06
685834,27433.36,1.4588024139404297e-05
685835,27433.4,2.2152183532714844e-05
685836,27433.44,2.6294462203979493e-05
685837,27433.48,2.91760482788086e-05
685838,27433.52,3.1157136917114256e-05
685839,27433.56,3.638000869750976e-05
685840,27433.6,4.430436706542969e-05
685841,27433.64,4.412427139282226e-05
685842,27433.68,3.583971405029297e-05
685843,27433.72,3.5299415588378905e-05
685844,27433.76,3.836109924316406e-05
685845,27433.8,4.430436706542969e-05
685846,27433.84,4.826654815673828e-05
685847,27433.88,4.772624969482421e-05
685848,27433.92,4.304367446899414e-05
685849,27433.96,4.412427139282226e-05
685850,27434.0,4.286357498168945e-05
685851,27434.04,4.6105358123779295e-05
685852,27434.08,5.024763870239258e-05
685853,27434.12,5.18685302734375e-05
685854,27434.16,4.934714126586914e-05
685855,27434.2,4.754615020751953e-05
685856,27434.24,4.826654815673828e-05
685857,27434.28,4.916704177856445e-05
685858,27434.32,4.970734024047852e-05
685859,27434.36,4.916704177856445e-05
685860,27434.4,4.916704177856445e-05
685861,27434.44,4.8986942291259765e-05
685862,27434.48,5.24088249206543e-05
685863,27434.52,5.979288864135742e-05
685864,27434.56,7.510131072998047e-05
685865,27434.6,9.34714126586914e-05
685866,27434.64,0.0001195857772827
685867,27434.68,0.0001480414276123
685868,27434.72,0.0001523638000488
685869,27434.76,0.0001523638000488
685870,27434.8,0.0001622692565917
685871,27434.84,0.0001694732208251
685872,27434.88,0.0001797388610839
685873,27434.92,0.0001865826263427
685874,27434.96,0.000184961730957
685875,27435.0,0.0001768572692871
685876,27435.04,0.0001696533203125
685877,27435.08,0.0001579468688964
685878,27435.12,0.0001653309326171
685879,27435.16,0.0001847816314697
685880,27435.2,0.0001930661926269
685881,27435.24,0.0001952273864746
685882,27435.28,0.0001954074859619
685883,27435.32,0.0001928860931396
685884,27435.36,0.0001855020294189
685885,27435.4,0.000173975692749
685886,27435.44,0.0001610085601806
685887,27435.48,0.0001494822235107
685888,27435.52,0.0001437190551757
685889,27435.56,0.0001309320220947
685890,27435.6,0.0001208464660644
685891,27435.64,0.000110220626831
685892,27435.68,0.0001003151779174
685893,27435.72,7.149932861328124e-05
685894,27435.76,4.448446655273437e-05
685895,27435.8,3.619990921020507e-05
685896,27435.84,2.6474561691284177e-05
685897,27435.88,2.1972085952758788e-05
685898,27435.92,2.287258148193359e-05
685899,27435.96,2.2692481994628904e-05
685900,27436.0,1.0445745468139649e-05
685901,27436.04,-1.8009905815124511e-06
685902,27436.08,-2.539396667480469e-05
685903,27436.12,-5.114813232421875e-05
685904,27436.16,-7.83430938720703e-05
685905,27436.2,-0.0001071589431762
685906,27436.24,-0.0001334533996582
685907,27436.28,-0.0001543448944091
685908,27436.32,-0.0001651508331298
685909,27436.36,-0.0001689329223632
685910,27436.4,-0.000168212524414
685911,27436.44,-0.000164070236206
685912,27436.48,-0.0001597478637695
685913,27436.52,-0.0001507429199218
685914,27436.56,-0.0001392165679931
685915,27436.6,-0.0001237280502319
685916,27436.64,-0.0001071589431762
685917,27436.68,-9.97748794555664e-05
685918,27436.72,-9.076992797851562e-05
685919,27436.76,-7.888338470458984e-05
685920,27436.8,-6.429536437988281e-05
685921,27436.84,-4.646555709838867e-05
685922,27436.88,-2.91760482788086e-05
685923,27436.92,-1.5668618202209472e-05
685924,27436.96,-9.545249938964844e-06
685925,27437.0,-9.004952907562256e-07
685926,27437.04,5.042773723602295e-06
685927,27437.08,1.6208915710449218e-05
685928,27437.12,2.7735254287719724e-05
685929,27437.16,3.493921661376953e-05
685930,27437.2,3.872129821777344e-05
685931,27437.24,3.998199081420898e-05
685932,27437.28,4.268347549438476e-05
685933,27437.32,4.466456604003906e-05
685934,27437.36,4.718595504760742e-05
685935,27437.4,4.79063491821289e-05
685936,27437.44,4.8986942291259765e-05
685937,27437.48,4.718595504760742e-05
685938,27437.52,4.520486450195312e-05
685939,27437.56,4.592525863647461e-05
685940,27437.6,4.916704177856445e-05
685941,27437.64,5.18685302734375e-05
685942,27437.68,4.430436706542969e-05
685943,27437.72,3.7640705108642574e-05
685944,27437.76,4.052228927612304e-05
685945,27437.8,4.934714126586914e-05
685946,27437.84,7.185952758789062e-05
685947,27437.88,9.887438201904296e-05
685948,27437.92,0.0001219270629882
685949,27437.96,0.0001395767669677
685950,27438.0,0.0001597478637695
685951,27438.04,0.0001775776672363
685952,27438.08,0.0001961278686523
685953,27438.12,0.0002103556976318
685954,27438.16,0.0002152183685302
685955,27438.2,0.0002153984680175
685956,27438.24,0.0002117964935302
685957,27438.28,0.0002105357971191
685958,27438.32,0.0002074741210937
685959,27438.36,0.0002033318328857
685960,27438.4,0.0002029716339111
685961,27438.44,0.000201891052246
685962,27438.48,0.0001966681671142
685963,27438.52,0.0001916253967285
685964,27438.56,0.0001979288635253
685965,27438.6,0.000192525894165
685966,27438.64,0.0001649707336425
685967,27438.68,0.0001464205322265
685968,27438.72,0.0001386762695312
685969,27438.76,0.0001284106292724
685970,27438.8,0.000123547958374
685971,27438.84,0.0001147230987548
685972,27438.88,9.923458099365234e-05
685973,27438.92,7.294011688232422e-05
685974,27438.96,4.538496398925781e-05
685975,27439.0,1.3867627143859862e-05
685976,27439.04,-2.341287851333618e-06
685977,27439.08,-2.0891490936279297e-05
685978,27439.12,-5.078793334960937e-05
685979,27439.16,-9.239081573486329e-05
685980,27439.2,-0.0001402971649169
685981,27439.24,-0.0001819000549316
685982,27439.28,-0.0002083746185302
685983,27439.32,-0.0002251238250732
685984,27439.36,-0.000231967590332
685985,27439.4,-0.0002253039245605
685986,27439.44,-0.0002081945190429
685987,27439.48,-0.0001851418304443
685988,27439.52,-0.0001651508331298
685989,27439.56,-0.0001491220245361
685990,27439.6,-0.0001260693435668
685991,27439.64,-0.0001008554763793
685992,27439.68,-7.438091278076172e-05
685993,27439.72,-5.096803283691406e-05
685994,27439.76,-3.079693984985352e-05
