sample_index,time,pressure
155625,6225.0,3.750552749633789e-05
155626,6225.04,4.2105262756347656e-05
155627,6225.08,3.998230743408203e-05
155628,6225.12,3.379035568237305e-05
155629,6225.16,3.325961685180664e-05
155630,6225.2,3.6267135620117184e-05
155631,6225.24,4.228217315673828e-05
155632,6225.28,3.998230743408203e-05
155633,6225.32,3.3967269897460936e-05
155634,6225.36,2.972136116027832e-05
155635,6225.4,3.113666343688965e-05
155636,6225.44,3.2021228790283204e-05
155637,6225.48,3.379035568237305e-05
155638,6225.52,3.520566177368164e-05
155639,6225.56,3.449800872802734e-05
155640,6225.6,3.4144184112548826e-05
155641,6225.64,3.520566177368164e-05
155642,6225.68,3.538257217407226e-05
155643,6225.72,3.520566177368164e-05
155644,6225.76,3.555948638916015e-05
155645,6225.8,3.379035568237305e-05
155646,6225.84,3.3967269897460936e-05
155647,6225.88,3.874391555786133e-05
155648,6225.92,3.732861328125e-05
155649,6225.96,3.3967269897460936e-05
155650,6226.0,2.8659883499145508e-05
155651,6226.04,2.919062232971192e-05
155652,6226.08,3.555948638916015e-05
155653,6226.12,3.8036266326904296e-05
155654,6226.16,3.27288818359375e-05
155655,6226.2,2.3706323623657227e-05
155656,6226.24,2.1052631378173828e-05
155657,6226.28,1.2560812950134277e-05
155658,6226.32,-7.784165859222412e-06
155659,6226.36,-2.5298540115356443e-05
155660,6226.4,-3.432109451293945e-05
155661,6226.44,-3.325961685180664e-05
155662,6226.48,-3.7151702880859375e-05
155663,6226.52,-5.572755432128906e-05
155664,6226.56,-7.978770446777344e-05
155665,6226.6,-9.641751098632812e-05
155666,6226.64,-0.0001100398025512
155667,6226.68,-0.0001204776611328
155668,6226.72,-0.0001266696090698
155669,6226.76,-0.0001279080047607
155670,6226.8,-0.0001296771240234
155671,6226.84,-0.0001321539154052
155672,6226.88,-0.000139407333374
155673,6226.92,-0.0001431225128173
155674,6226.96,-0.0001494913635253
155675,6227.0,-0.0001592215728759
155676,6227.04,-0.0001585139312744
155677,6227.08,-0.0001507297668457
155678,6227.12,-0.0001293233032226
155679,6227.16,-0.0001279080047607
155680,6227.2,-0.0001272003479003
155681,6227.24,-0.0001330384674072
155682,6227.28,-0.0001272003479003
155683,6227.32,-0.0001061477203369
155684,6227.36,-8.385669708251953e-05
155685,6227.4,-7.854930877685547e-05
155686,6227.44,-7.801856994628905e-05
155687,6227.48,-7.377266693115234e-05
155688,6227.52,-5.307386016845703e-05
155689,6227.56,-4.422821807861328e-05
