sample_index,time,pressure
701650,28066.0,4.784946060180664e-05
701651,28066.04,4.784946060180664e-05
701652,28066.08,4.802867126464844e-05
701653,28066.12,4.802867126464844e-05
701654,28066.16,4.731182861328125e-05
701655,28066.2,4.731182861328125e-05
701656,28066.24,4.695340347290039e-05
701657,28066.28,4.767024993896484e-05
701658,28066.32,4.695340347290039e-05
701659,28066.36,4.767024993896484e-05
701660,28066.4,4.767024993896484e-05
701661,28066.44,4.767024993896484e-05
701662,28066.48,4.802867126464844e-05
701663,28066.52,4.749103927612305e-05
701664,28066.56,4.784946060180664e-05
701665,28066.6,4.8387096405029294e-05
701666,28066.64,4.8387096405029294e-05
701667,28066.68,4.8387096405029294e-05
701668,28066.72,4.928315353393555e-05
701669,28066.76,4.910394287109375e-05
701670,28066.8,4.928315353393555e-05
701671,28066.84,4.964157485961914e-05
701672,28066.88,5.0179210662841794e-05
701673,28066.92,5.107526779174805e-05
701674,28066.96,5.143368911743164e-05
701675,28067.0,5.125447845458984e-05
701676,28067.04,5.232974624633789e-05
701677,28067.08,5.286738204956055e-05
701678,28067.12,5.304659271240234e-05
701679,28067.16,5.34050178527832e-05
701680,28067.2,5.250896072387695e-05
701681,28067.24,5.215053558349609e-05
701682,28067.28,5.34050178527832e-05
701683,28067.32,5.268817138671875e-05
701684,28067.36,5.3584228515625e-05
701685,28067.4,5.465949630737305e-05
701686,28067.44,5.716845703125e-05
701687,28067.48,5.967741775512695e-05
701688,28067.52,5.824372482299805e-05
701689,28067.56,5.913978195190429e-05
701690,28067.6,5.8602149963378906e-05
701691,28067.64,5.824372482299805e-05
701692,28067.68,5.7347667694091794e-05
701693,28067.72,5.752688217163085e-05
701694,28067.76,5.716845703125e-05
701695,28067.8,5.69892463684082e-05
701696,28067.84,5.752688217163085e-05
701697,28067.88,5.573476409912109e-05
701698,28067.92,5.5555553436279294e-05
701699,28067.96,5.645161056518555e-05
701700,28068.0,5.5376342773437495e-05
701701,28068.04,5.627239990234375e-05
701702,28068.08,5.5555553436279294e-05
701703,28068.12,5.573476409912109e-05
701704,28068.16,5.591397857666015e-05
701705,28068.2,5.627239990234375e-05
701706,28068.24,5.627239990234375e-05
701707,28068.28,5.573476409912109e-05
701708,28068.32,5.501792144775391e-05
701709,28068.36,5.663082122802734e-05
701710,28068.4,5.69892463684082e-05
701711,28068.44,5.788530349731445e-05
701712,28068.48,5.806451416015625e-05
701713,28068.52,5.824372482299805e-05
701714,28068.56,5.752688217163085e-05
701715,28068.6,5.788530349731445e-05
701716,28068.64,5.770609283447265e-05
701717,28068.68,5.770609283447265e-05
701718,28068.72,5.716845703125e-05
701719,28068.76,5.788530349731445e-05
701720,28068.8,5.7347667694091794e-05
701721,28068.84,5.824372482299805e-05
701722,28068.88,5.752688217163085e-05
701723,28068.92,5.6810035705566406e-05
701724,28068.96,5.6810035705566406e-05
701725,28069.0,5.716845703125e-05
701726,28069.04,5.716845703125e-05
701727,28069.08,5.752688217163085e-05
701728,28069.12,5.752688217163085e-05
701729,28069.16,5.7347667694091794e-05
701730,28069.2,5.7347667694091794e-05
701731,28069.24,5.69892463684082e-05
701732,28069.28,5.663082122802734e-05
701733,28069.32,5.69892463684082e-05
701734,28069.36,5.645161056518555e-05
701735,28069.4,5.69892463684082e-05
701736,28069.44,5.6810035705566406e-05
701737,28069.48,5.645161056518555e-05
701738,28069.52,5.627239990234375e-05
701739,28069.56,5.591397857666015e-05
701740,28069.6,5.663082122802734e-05
701741,28069.64,5.663082122802734e-05
701742,28069.68,5.609318923950195e-05
701743,28069.72,5.591397857666015e-05
701744,28069.76,5.573476409912109e-05
701745,28069.8,5.6810035705566406e-05
701746,28069.84,5.716845703125e-05
701747,28069.88,5.663082122802734e-05
701748,28069.92,5.645161056518555e-05
701749,28069.96,5.645161056518555e-05
701750,28070.0,5.69892463684082e-05
701751,28070.04,5.627239990234375e-05
701752,28070.08,5.609318923950195e-05
701753,28070.12,5.609318923950195e-05
701754,28070.16,5.609318923950195e-05
701755,28070.2,5.609318923950195e-05
701756,28070.24,5.448028564453125e-05
701757,28070.28,5.591397857666015e-05
701758,28070.32,5.5555553436279294e-05
701759,28070.36,5.627239990234375e-05
701760,28070.4,5.627239990234375e-05
701761,28070.44,5.609318923950195e-05
701762,28070.48,5.609318923950195e-05
701763,28070.52,5.609318923950195e-05
701764,28070.56,5.501792144775391e-05
701765,28070.6,5.609318923950195e-05
701766,28070.64,5.573476409912109e-05
701767,28070.68,5.5555553436279294e-05
701768,28070.72,5.5376342773437495e-05
701769,28070.76,5.5376342773437495e-05
701770,28070.8,5.609318923950195e-05
701771,28070.84,5.627239990234375e-05
701772,28070.88,5.591397857666015e-05
701773,28070.92,5.609318923950195e-05
701774,28070.96,5.573476409912109e-05
701775,28071.0,5.501792144775391e-05
701776,28071.04,5.501792144775391e-05
701777,28071.08,5.5376342773437495e-05
701778,28071.12,5.573476409912109e-05
701779,28071.16,5.483870697021484e-05
