Extremum Values,Event Types,Event End Times,Event Start Times,Extremum Times,,Zelano Parameters,,,,,,,,
,,,,,,Breathing Rate,Inter-Breath Interval,Tidal Volume,Minute Ventilation,Duty Cycle,CV Duty Cycle,CV Breathing Rate,CV Breath Volumes,Inhale-Exhale Volumes
nan,pause,11196.244300000777,11192.4333,nan,,0.04419838222871448,22.625262499999998,-3.377202610462014,-8.956013510460744,0.11800313264218934,0.4519469993909963,0.9919769813702712,-4.925544378072628,3.371476723946781
-14.933299949666289,exhale,11196.918300000914,11196.244300000777,11196.633300000856,,nan,nan,nan,nan,nan,nan,nan,nan,-24.86026509580554
nan,pause,11201.486300001845,11196.918300000914,nan,,nan,nan,nan,nan,nan,nan,nan,nan,117.96189023494249
-25.46669997747602,exhale,11203.2313000022,11201.486300001845,11202.633300002079,,nan,nan,nan,nan,nan,nan,nan,nan,28.587506810563216
nan,pause,11211.03530000379,11203.2313000022,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-8.639117127602614
-19.73329998826206,exhale,11212.21130000403,11211.03530000379,11211.633300003912,,nan,nan,nan,nan,nan,nan,nan,nan,18.645170292674436
nan,pause,11212.21230000403,11212.21130000403,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.454379304176129
26.666699798289475,inhale,11215.981300004798,11212.21230000403,11215.633300004727,,nan,nan,nan,nan,nan,nan,nan,nan,50.747920141332365
nan,pause,11215.982300004798,11215.981300004798,nan,,nan,nan,nan,nan,nan,nan,nan,nan,39.517418751267584
-57.53329979097629,exhale,11217.032300005012,11215.982300004798,11216.43330000489,,nan,nan,nan,nan,nan,nan,nan,nan,15.286267081973971
nan,pause,11219.534300005522,11217.032300005012,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-22.035505499199118
-17.066699877413708,exhale,11221.3933000059,11219.534300005522,11220.633300005746,,nan,nan,nan,nan,nan,nan,nan,nan,-14.909709453603943
nan,pause,11223.636300006357,11221.3933000059,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.07406804691840208
-16.266699870415195,exhale,11224.63230000656,11223.636300006357,11224.23330000648,,nan,nan,nan,nan,nan,nan,nan,nan,-18.342906416706114
nan,pause,11229.83730000762,11224.63230000656,nan,,nan,nan,nan,nan,nan,nan,nan,nan,24.311870650406057
-18.666699236157687,exhale,11230.62230000778,11229.83730000762,11230.433300007742,,nan,nan,nan,nan,nan,nan,nan,nan,14.021662918443077
nan,pause,11234.033300008476,11230.62230000778,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-29.170735029552546
-8.466699821153323,exhale,11235.03230000868,11234.033300008476,11234.233300008516,,nan,nan,nan,nan,nan,nan,nan,nan,-4.212744883579818
nan,pause,11242.636300010228,11235.03230000868,nan,,nan,nan,nan,nan,nan,nan,nan,nan,5.134047441369596
-41.31669963119723,exhale,11243.832300010472,11242.636300010228,11242.833300010268,,nan,nan,nan,nan,nan,nan,nan,nan,-28.71707265320618
nan,pause,11243.833300010472,11243.832300010472,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-8.934235740798679
1.5999999571300578,pause,11245.657300010844,11243.833300010472,11245.033300010717,,nan,nan,nan,nan,nan,nan,nan,nan,-11.317909169640373
nan,pause,11250.233300011776,11245.657300010844,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-23.22136749761087
