Extremum Values,Event Types,Event End Times,Event Start Times,Extremum Times,,Zelano Parameters,,,,,,,,
,,,,,,Breathing Rate,Inter-Breath Interval,Tidal Volume,Minute Ventilation,Duty Cycle,CV Duty Cycle,CV Breathing Rate,CV Breath Volumes,Inhale-Exhale Volumes
-0.8664999999999973,exhale,27.60170000000114,26.6667,26.6667,,0.274427475678865,3.64395,0.2585574872699903,4.257316712962423,0.3777068366981454,0.12491399052048041,0.23807665465440186,3.2044171709897697,0.5797982009992761
nan,pause,28.220700000001898,27.60170000000114,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.614284099999213
4.633499999981666,inhale,29.575700000003554,28.220700000001898,28.91670000000275,,nan,nan,nan,nan,nan,nan,nan,nan,0.7070992169989971
nan,pause,29.576700000003555,29.575700000003554,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.5742778229991705
-7.699899999956388,exhale,31.4947000000059,29.576700000003555,29.81670000000385,,nan,nan,nan,nan,nan,nan,nan,nan,0.6504941319989865
nan,pause,31.750700000006212,31.4947000000059,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.39644891999929444
4.466799999962131,inhale,33.14670000000792,31.750700000006212,32.866700000007576,,nan,nan,nan,nan,nan,nan,nan,nan,0.8159709999986742
nan,pause,33.147700000007916,33.14670000000792,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.7037305999989196
-5.516499999997239,exhale,34.7657000000099,33.147700000007916,33.46670000000831,,nan,nan,nan,nan,nan,nan,nan,nan,0.6183264999989362
nan,pause,35.57370000001089,34.7657000000099,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.5237580999992977
4.266799999995961,inhale,36.82370000001241,35.57370000001089,36.5667000000121,,nan,nan,nan,nan,nan,nan,nan,nan,0.4774581999992735
nan,pause,36.82470000001241,36.82370000001241,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.7392704079988106
-5.816499999868661,exhale,38.692700000014696,36.82470000001241,37.06670000001271,,nan,nan,nan,nan,nan,nan,nan,nan,0.7442728569984887
nan,pause,39.55370000001575,38.692700000014696,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.6600006319985607
4.100099999657806,inhale,40.88270000001737,39.55370000001575,40.66670000001711,,nan,nan,nan,nan,nan,nan,nan,nan,0.6489243759988361
nan,pause,40.88370000001737,40.88270000001737,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.7570888119985915
-5.5664999997442886,exhale,42.59070000001946,40.88370000001737,41.26670000001784,,nan,nan,nan,nan,nan,nan,nan,nan,0.5662906629988731
nan,pause,43.375700000020416,42.59070000001946,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.7295270739984097
4.316799999831348,inhale,44.61870000002194,43.375700000020416,43.91670000002108,,nan,nan,nan,nan,nan,nan,nan,nan,0.6164642999988805
nan,pause,44.619700000021936,44.61870000002194,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.7062976489988122
-5.599899999985141,exhale,46.25370000002394,44.619700000021936,44.86670000002224,,nan,nan,nan,nan,nan,nan,nan,nan,0.723446073998999
nan,pause,46.7127000000245,46.25370000002394,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.7596769569982555
4.233499999879072,inhale,48.25470000002638,46.7127000000245,47.86670000002591,,nan,nan,nan,nan,nan,nan,nan,nan,0.9318791319979383
nan,pause,48.25570000002638,48.25470000002638,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.570178009997965
-5.349899999865882,exhale,50.38370000002898,48.25570000002638,48.616700000026825,,nan,nan,nan,nan,nan,nan,nan,nan,2.3958624999796867
nan,pause,50.55470000002919,50.38370000002898,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.3050500719991612
4.116799999939138,inhale,51.8687000000308,50.55470000002919,51.56670000003043,,nan,nan,nan,nan,nan,nan,nan,nan,0.12673037499969775
nan,pause,51.869700000030804,51.8687000000308,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.5267130489984364
-5.049899999771438,exhale,53.595700000032906,51.869700000030804,52.16670000003116,,nan,nan,nan,nan,nan,nan,nan,nan,0.3421259899986193
nan,pause,54.38370000003387,53.595700000032906,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.3870257319987491
4.3834999997238,inhale,55.68270000003546,54.38370000003387,54.916700000034524,,nan,nan,nan,nan,nan,nan,nan,nan,0.2862030089993364
nan,pause,55.68370000003546,55.68270000003546,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.07849374599945547
-5.399899999988039,exhale,57.44970000003762,55.68370000003546,55.96670000003581,,nan,nan,nan,nan,nan,nan,nan,nan,0.4695929459984334
nan,pause,58.237700000038586,57.44970000003762,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.4456880999988444
4.250099999673146,inhale,59.50770000004014,58.237700000038586,58.76670000003923,,nan,nan,nan,nan,nan,nan,nan,nan,0.1150023269994156
nan,pause,59.508700000040136,59.50770000004014,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.3663503439983864
-5.349899999999997,exhale,61.065700000042035,59.508700000040136,59.81670000004051,,nan,nan,nan,nan,nan,nan,nan,nan,0.3121498469982291
nan,pause,61.833700000042974,61.065700000042035,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.20425714699900643
4.58349999964854,inhale,63.312700000044785,61.833700000042974,62.616700000043934,,nan,nan,nan,nan,nan,nan,nan,nan,0.16863916399876988
nan,pause,63.31370000004478,63.312700000044785,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.32268214699797415
-6.599899999594114,exhale,64.99970000004686,63.31370000004478,63.566700000045095,,nan,nan,nan,nan,nan,nan,nan,nan,0.3117489999985823
nan,pause,65.49670000004745,64.99970000004686,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.22394719999870505
4.733499999431764,inhale,67.01670000004931,65.49670000004745,66.5167000000487,,nan,nan,nan,nan,nan,nan,nan,nan,0.19578643799915874
nan,pause,67.0177000000493,67.01670000004931,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.17751023599830695
-6.016499999999997,exhale,68.81570000005152,67.0177000000493,67.36670000004975,,nan,nan,nan,nan,nan,nan,nan,nan,-0.022129944002776014
nan,pause,69.24870000005204,68.81570000005152,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.13341165699738244
4.6500999993589796,inhale,70.57470000005367,69.24870000005204,70.36670000005341,,nan,nan,nan,nan,nan,nan,nan,nan,0.1882343379986171
nan,pause,70.57570000005367,70.57470000005367,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.22941983899942642
