Extremum Values,Event Types,Event End Times,Event Start Times,Extremum Times,,Zelano Parameters,,,,,,,,
,,,,,,Breathing Rate,Inter-Breath Interval,Tidal Volume,Minute Ventilation,Duty Cycle,CV Duty Cycle,CV Breathing Rate,CV Breath Volumes,Inhale-Exhale Volumes
0.6498999999999937,inhale,21433.1227000001,21432.6167,21432.6167,,0.3746383454195798,2.669240915208614,-0.28067495810669607,-6.309096114348149,0.4689415369320094,0.2962984898035855,1.3279759335971117,-9.597082547692727,-0.4494134949048849
nan,pause,21433.123700000102,21433.1227000001,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.42949461959388546
-0.8000999967923625,exhale,21434.256700000333,21433.123700000102,21434.116700000304,,nan,nan,nan,nan,nan,nan,nan,nan,1.004364453635175
nan,pause,21434.257700000333,21434.256700000333,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.519058174742924
1.0831999999999937,inhale,21435.402700000566,21434.257700000333,21434.456700000374,,nan,nan,nan,nan,nan,nan,nan,nan,-2.291800701390372
nan,pause,21435.403700000566,21435.402700000566,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.5318324562902799
-0.5964713785953092,exhale,21436.019700000692,21435.403700000566,21435.946700000677,,nan,nan,nan,nan,nan,nan,nan,nan,-2.8921158505652285
nan,pause,21436.020700000692,21436.019700000692,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-2.0913186041251004
0.8331999871579779,inhale,21436.24870000074,21436.020700000692,21436.11670000071,,nan,nan,nan,nan,nan,nan,nan,nan,-3.4999845260178675
nan,pause,21506.06070001496,21436.24870000074,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-3.5229171073748047
-0.7994406898129464,exhale,21507.09270001517,21506.06070001496,21506.94670001514,,nan,nan,nan,nan,nan,nan,nan,nan,-3.283693930588421
nan,pause,21508.690700015497,21507.09270001517,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-2.1071047183824314
-1.2977218247078508,exhale,21509.6867000157,21508.690700015497,21509.28670001562,,nan,nan,nan,nan,nan,nan,nan,nan,-4.059449337146469
nan,pause,21509.6877000157,21509.6867000157,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-3.878967876953133
0.5664999999999937,inhale,21511.29870001603,21509.6877000157,21509.78670001572,,nan,nan,nan,nan,nan,nan,nan,nan,-2.1178523423472235
nan,pause,21511.29970001603,21511.29870001603,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.6089094483219206
-4.933805317419056,exhale,21512.112700016194,21511.29970001603,21511.94670001616,,nan,nan,nan,nan,nan,nan,nan,nan,-3.861169605301666
nan,pause,21512.113700016194,21512.112700016194,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-3.444689760890064
