Extremum Values,Event Types,Event End Times,Event Start Times,Extremum Times,,Zelano Parameters,,,,,,,,
,,,,,,Breathing Rate,Inter-Breath Interval,Tidal Volume,Minute Ventilation,Duty Cycle,CV Duty Cycle,CV Breathing Rate,CV Breath Volumes,Inhale-Exhale Volumes
nan,pause,28370.20100000004,28370.0,nan,,0.2039937441918448,4.902111111111111,1.068930306077509e-05,0.0001308330572501314,0.46065867313402387,0.3557467109039037,0.2398181753225253,2.722381993246276,-1.183430836807826e-05
-6.863230893675824e-05,exhale,28372.124000000433,28370.20100000004,28371.33000000027,,nan,nan,nan,nan,nan,nan,nan,nan,6.8129127765282455e-06
nan,pause,28372.125000000433,28372.124000000433,nan,,nan,nan,nan,nan,nan,nan,nan,nan,1.7709130086401045e-05
7.581213376456015e-05,inhale,28375.20600000106,28372.125000000433,28372.80000000057,,nan,nan,nan,nan,nan,nan,nan,nan,-1.752408291957846e-05
nan,pause,28375.20700000106,28375.20600000106,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-9.636115567281865e-05
-8.494055173820308e-05,exhale,28377.01900000143,28375.20700000106,28375.560000001133,,nan,nan,nan,nan,nan,nan,nan,nan,1.545878752915742e-05
nan,pause,28377.02000000143,28377.01900000143,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.00010227412440505924
7.43784332196864e-05,inhale,28380.336000002106,28377.02000000143,28377.80000000159,,nan,nan,nan,nan,nan,nan,nan,nan,9.511216191016113e-05
nan,pause,28380.579000002155,28380.336000002106,nan,,nan,nan,nan,nan,nan,nan,nan,nan,8.967319486898784e-05
-8.225238003751013e-05,exhale,28382.46200000254,28380.579000002155,28381.080000002257,,,,,,,,,,
nan,pause,28382.46300000254,28382.46200000254,nan,,,,,,,,,,
0.0001268874039520688,inhale,28384.803000003016,28382.46300000254,28383.040000002657,,,,,,,,,,
nan,pause,28386.35100000333,28384.803000003016,nan,,,,,,,,,,
-0.00010304091024078894,exhale,28388.31200000373,28386.35100000333,28387.08000000348,,,,,,,,,,
nan,pause,28388.31300000373,28388.31200000373,nan,,,,,,,,,,
0.00010681571962760269,inhale,28390.305000004137,28388.31300000373,28388.730000003816,,,,,,,,,,
nan,pause,28391.723000004426,28390.305000004137,nan,,,,,,,,,,
-0.00011056778980179451,exhale,28393.501000004788,28391.723000004426,28392.640000004612,,,,,,,,,,
nan,pause,28393.502000004788,28393.501000004788,nan,,,,,,,,,,
0.000117568404326586,inhale,28396.026000005302,28393.502000004788,28394.40000000497,,,,,,,,,,
nan,pause,28397.4820000056,28396.026000005302,nan,,,,,,,,,,
3.410697520594369e-06,inhale,28397.68500000564,28397.4820000056,28397.520000005607,,,,,,,,,,
nan,pause,28397.68600000564,28397.68500000564,nan,,,,,,,,,,
-8.834556993611861e-05,exhale,28399.479000006006,28397.68600000564,28398.480000005802,,,,,,,,,,
nan,pause,28399.480000006006,28399.479000006006,nan,,,,,,,,,,
0.00012455764697896343,inhale,28401.81300000648,28399.480000006006,28400.080000006128,,,,,,,,,,
nan,pause,28402.68700000666,28401.81300000648,nan,,,,,,,,,,
-7.365022900588576e-05,exhale,28404.60700000705,28402.68700000666,28403.600000006845,,,,,,,,,,
nan,pause,28404.60800000705,28404.60700000705,nan,,,,,,,,,,
0.00012151106053647883,inhale,28406.780000007493,28404.60800000705,28405.080000007147,,,,,,,,,,
nan,pause,28407.168000007572,28406.780000007493,nan,,,,,,,,,,
-4.1161803967191955e-06,pause,28407.341000007607,28407.168000007572,28407.25000000759,,,,,,,,,,
nan,pause,28407.827000007706,28407.341000007607,nan,,,,,,,,,,
-7.400865152028726e-05,exhale,28410.14900000818,28407.827000007706,28409.240000007994,,,,,,,,,,
nan,pause,28410.15000000818,28410.14900000818,nan,,,,,,,,,,
9.642144681322377e-05,inhale,28412.095000008576,28410.15000000818,28410.84000000832,,,,,,,,,,
nan,pause,28413.257000008813,28412.095000008576,nan,,,,,,,,,,
-4.4746007791054885e-06,exhale,28413.411000008844,28413.257000008813,28413.320000008825,,,,,,,,,,
nan,pause,28414.301000009025,28413.411000008844,nan,,,,,,,,,,
-8.350685939271678e-05,exhale,28416.24300000942,28414.301000009025,28415.440000009257,,,,,,,,,,
nan,pause,28416.24400000942,28416.24300000942,nan,,,,,,,,,,
8.710244581680172e-05,inhale,28418.920000009966,28416.24400000942,28416.92000000956,,,,,,,,,,
nan,pause,28419.22500001003,28418.920000009966,nan,,,,,,,,,,
-3.936971979419448e-06,pause,28419.38100001006,28419.22500001003,28419.320000010048,,,,,,,,,,
nan,pause,28419.96000001018,28419.38100001006,nan,,,,,,,,,,
