Extremum Values,Event Types,Event End Times,Event Start Times,Extremum Times,,Zelano Parameters,,,,,,,,
,,,,,,Breathing Rate,Inter-Breath Interval,Tidal Volume,Minute Ventilation,Duty Cycle,CV Duty Cycle,CV Breathing Rate,CV Breath Volumes,Inhale-Exhale Volumes
-1.5332999999999826,pause,0.17200000000000001,0.0,0.0,,0.28898726591556456,3.4603600848356306,-0.9922056128035548,-17.204087236210597,0.3410960851795667,0.2200373017264757,4.114939476531773,-40.81419544826477,0.33880120272448977
nan,pause,0.17300000000000001,0.17200000000000001,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.45755809150271265
12.466690777777796,inhale,1.27,0.17300000000000001,1.0,,nan,nan,nan,nan,nan,nan,nan,nan,0.4482843851813785
nan,pause,1.2710000000000001,1.27,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.2412088567960442
-15.899914294444427,exhale,2.758,1.2710000000000001,1.55,,nan,nan,nan,nan,nan,nan,nan,nan,0.48469593324054383
nan,pause,2.759,2.758,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.5956529683231571
13.133366338888907,inhale,3.886,2.759,3.65,,nan,nan,nan,nan,nan,nan,nan,nan,0.49824487875132295
nan,pause,3.887,3.886,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.5348910455712073
-13.599937811111094,exhale,5.436,3.887,4.1,,nan,nan,nan,nan,nan,nan,nan,nan,0.5811502590257591
nan,pause,5.437,5.436,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.558842077453594
12.600041900000017,inhale,6.566,5.437,6.3,,nan,nan,nan,nan,nan,nan,nan,nan,0.5316782570500402
nan,pause,6.567,6.566,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.5914271586692132
-16.14996271111109,exhale,8.07,6.567,6.8,,nan,nan,nan,nan,nan,nan,nan,nan,0.26896153683337864
nan,pause,8.071,8.07,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.0480243803378162
12.766619305555574,inhale,9.17,8.071,8.75,,nan,nan,nan,nan,nan,nan,nan,nan,0.5673890134133757
nan,pause,9.171,9.17,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.39785531290804776
-17.549987611111096,exhale,10.596,9.171,9.5,,nan,nan,nan,nan,nan,nan,nan,nan,0.048903624637379295
nan,pause,10.718,10.596,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.3030931726228845
11.98329302222224,inhale,11.828,10.718,11.6,,nan,nan,nan,nan,nan,nan,nan,nan,0.28748213638670617
nan,pause,11.829,11.828,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.12269623123477835
-16.26671158888887,exhale,13.32,11.829,12.1,,nan,nan,nan,nan,nan,nan,nan,nan,-0.2468902468055063
nan,pause,13.321,13.32,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-0.17942250307411634
12.216569505555572,inhale,14.421000000000001,13.321,14.15,,nan,nan,nan,nan,nan,nan,nan,nan,-0.015188578551047272
nan,pause,14.422,14.421000000000001,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-0.03238550971995657
-14.233435566666575,exhale,15.934000000000001,14.422,14.700000000000001,,nan,nan,nan,nan,nan,nan,nan,nan,-0.43163139638662074
nan,pause,15.935,15.934000000000001,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-0.005161012779982599
11.999945066666685,inhale,17.032,15.935,16.8,,nan,nan,nan,nan,nan,nan,nan,nan,-0.36440903384522105
nan,pause,17.033,17.032,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-0.22466219836662127
-14.250060005555538,exhale,18.613,17.033,17.35,,nan,nan,nan,nan,nan,nan,nan,nan,0.19305614772936952
nan,pause,18.614,18.613,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-0.29723344075613145
10.933222472222239,inhale,19.741,18.614,19.25,,nan,nan,nan,nan,nan,nan,nan,nan,-0.08878351168347809
nan,pause,19.742,19.741,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-0.5079129230326398
-14.716784905555537,exhale,21.218,19.742,20.05,,nan,nan,nan,nan,nan,nan,nan,nan,0.248179085890456
nan,pause,21.219,21.218,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.26579061369140256
10.849899416666684,inhale,22.247,21.219,21.75,,nan,nan,nan,nan,nan,nan,nan,nan,-0.16698966269795434
nan,pause,22.248,22.247,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.3371724202903268
-15.166807961111093,exhale,23.711000000000002,22.248,22.55,,nan,nan,nan,nan,nan,nan,nan,nan,-0.2617434100684708
nan,pause,23.712,23.711000000000002,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-0.4290820976516754
11.966473594444462,inhale,24.792,23.712,24.55,,nan,nan,nan,nan,nan,nan,nan,nan,-0.3051443418670674
nan,pause,24.793,24.792,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-0.16868850509665112
