sample_index,time,pressure
529850,21194.0,-2.392955720386618e-05
529851,21194.04,-3.445704293135033e-05
529852,21194.08,-4.223632038369086e-05
529853,21194.12,-4.888279278616022e-05
529854,21194.16,-5.100360287008756e-05
529855,21194.2,-5.04870337997702e-05
529856,21194.24,-5.372461600234083e-05
529857,21194.28,-6.02281677580145e-05
529858,21194.32,-6.740738840148366e-05
529859,21194.36,-7.336912691718567e-05
529860,21194.4,-7.591977988399349e-05
529861,21194.44,-7.617706591789449e-05
529862,21194.48,-7.344207748521965e-05
529863,21194.52,-6.990361049543205e-05
529864,21194.56,-7.027292882070536e-05
529865,21194.6,-7.24852919678042e-05
529866,21194.64,-7.581109847107351e-05
529867,21194.68,-7.710578377158592e-05
529868,21194.72,-7.736807699124568e-05
529869,21194.76,-7.737867754137303e-05
529870,21194.8,-7.824113803725327e-05
529871,21194.84,-7.986688207278531e-05
529872,21194.88,-8.311370123545083e-05
529873,21194.92,-8.704542543078002e-05
529874,21194.96,-9.086181845715923e-05
529875,21195.0,-9.642453144245044e-05
529876,21195.04,-0.0001038795527462
529877,21195.08,-0.0001106109947536
529878,21195.12,-0.0001189637805104
529879,21195.16,-0.0001275815507404
529880,21195.2,-0.0001347693308028
529881,21195.24,-0.0001407036968959
529882,21195.28,-0.0001433916087306
529883,21195.32,-0.0001430662597274
529884,21195.36,-0.0001405166908182
529885,21195.4,-0.0001374616106138
529886,21195.44,-0.0001352741683855
529887,21195.48,-0.0001325771023732
529888,21195.52,-0.0001289153417361
529889,21195.56,-0.0001238198560112
529890,21195.6,-0.0001184109674894
529891,21195.64,-0.0001131655059891
529892,21195.68,-0.0001089094143415
529893,21195.72,-0.0001050238063538
529894,21195.76,-0.0001018088171771
529895,21195.8,-9.932326968054284e-05
529896,21195.84,-9.72383137260698e-05
529897,21195.88,-9.517747468858144e-05
529898,21195.92,-9.330464934577684e-05
529899,21195.96,-9.179162904393465e-05
529900,21196.0,-9.086552605286052e-05
529901,21196.04,-9.000057738667454e-05
529902,21196.08,-8.897944466933845e-05
529903,21196.12,-8.707561908710533e-05
529904,21196.16,-8.636134905193316e-05
529905,21196.2,-8.703181121344157e-05
529906,21196.24,-8.81261275349706e-05
529907,21196.28,-8.868653747819063e-05
529908,21196.32,-8.847773719948649e-05
529909,21196.36,-8.748671642512725e-05
529910,21196.4,-8.654668323816393e-05
529911,21196.44,-8.59822510061879e-05
529912,21196.48,-8.620396608057455e-05
529913,21196.52,-8.596894920179677e-05
529914,21196.56,-8.510501239906488e-05
529915,21196.6,-8.311094746837625e-05
529916,21196.64,-7.847833195977612e-05
529917,21196.68,-7.178562796352947e-05
529918,21196.72,-6.80614718154174e-05
529919,21196.76,-6.378153394816351e-05
529920,21196.8,-5.8014427610978457e-05
529921,21196.84,-5.4170597801764245e-05
529922,21196.88,-5.361811225913452e-05
529923,21196.92,-5.5205975023770494e-05
529924,21196.96,-5.871396493077832e-05
529925,21197.0,-6.370701172512141e-05
529926,21197.04,-7.001643761607545e-05
529927,21197.08,-7.572263718677402e-05
529928,21197.12,-7.976591663140376e-05
529929,21197.16,-8.47587461137352e-05
529930,21197.2,-8.881054295565828e-05
529931,21197.24,-9.215396030291298e-05
529932,21197.28,-9.51612434741768e-05
529933,21197.32,-9.70076965184218e-05
529934,21197.36,-9.744570371403712e-05
529935,21197.4,-9.728128200620707e-05
529936,21197.44,-9.70720591468682e-05
529937,21197.48,-9.73558295817362e-05
529938,21197.52,-9.721382369188082e-05
529939,21197.56,-9.653184297903993e-05
529940,21197.6,-9.51115333362414e-05
529941,21197.64,-9.281291319028846e-05
529942,21197.68,-9.036745871639231e-05
529943,21197.72,-8.86640227548612e-05
529944,21197.76,-8.761060564299075e-05
529945,21197.8,-8.697410007542578e-05
529946,21197.84,-8.673957111712614e-05
529947,21197.88,-8.649384443579147e-05
529948,21197.92,-8.619200854220571e-05
529949,21197.96,-8.580288193258508e-05
529950,21198.0,-8.548954758575827e-05
529951,21198.04,-8.438070383481042e-05
529952,21198.08,-8.34176514027744e-05
529953,21198.12,-8.450526190532129e-05
529954,21198.16,-8.592551431036107e-05
529955,21198.2,-8.709020250949701e-05
529956,21198.24,-8.731358330736173e-05
529957,21198.28,-8.666750296177272e-05
529958,21198.32,-8.581368547775926e-05
529959,21198.36,-8.52642471431981e-05
529960,21198.4,-8.537700657961254e-05
529961,21198.44,-8.606790551874362e-05
529962,21198.48,-8.617721603508522e-05
529963,21198.52,-8.596514952594818e-05
529964,21198.56,-8.526198037327599e-05
529965,21198.6,-8.417786193424169e-05
529966,21198.64,-8.320569446273675e-05
529967,21198.68,-8.304047315528205e-05
529968,21198.72,-8.338669912587246e-05
529969,21198.76,-8.403820469280403e-05
529970,21198.8,-8.439343385686957e-05
529971,21198.84,-8.445088346868846e-05
529972,21198.88,-8.444932907319959e-05
529973,21198.92,-8.431890694761799e-05
529974,21198.96,-8.456830250679569e-05
529975,21199.0,-8.447650019101389e-05
529976,21199.04,-8.447540329382368e-05
529977,21199.08,-8.328362116520359e-05
529978,21199.12,-8.204144665757128e-05
529979,21199.16,-8.281771632434286e-05
529980,21199.2,-8.391141434704092e-05
529981,21199.24,-8.419257921974737e-05
529982,21199.28,-8.288048972099675e-05
529983,21199.32,-7.717481522509567e-05
529984,21199.36,-7.085536546617144e-05
529985,21199.4,-6.601815351033832e-05
529986,21199.44,-6.166780669059409e-05
529987,21199.48,-5.6429078151095145e-05
529988,21199.52,-5.085090427147017e-05
529989,21199.56,-4.726635514226685e-05
529990,21199.6,-4.070291573088375e-05
529991,21199.64,-3.015449702152461e-05
529992,21199.68,-2.356154735126969e-05
529993,21199.72,-2.0945980381068808e-05
529994,21199.76,-1.7930702519719538e-05
529995,21199.8,-1.4962914238065166e-05
529996,21199.84,-1.559372431832383e-05
529997,21199.88,-1.7482848369543052e-05
529998,21199.92,-1.978403103077578e-05
529999,21199.96,-2.179960999362744e-05
530000,21200.0,-2.233784386579348e-05
530001,21200.04,-2.132074197536086e-05
530002,21200.08,-2.037720331450025e-05
530003,21200.12,-1.729778367113204e-05
530004,21200.16,-1.40471287192748e-05
530005,21200.2,-1.5968897359743547e-05
530006,21200.24,-1.502438551769764e-05
530007,21200.28,-1.219586811105086e-05
530008,21200.32,-1.2906069856507304e-05
530009,21200.36,-1.7284711997785927e-05
530010,21200.4,-2.894823580466138e-05
530011,21200.44,-4.660882976680068e-05
530012,21200.48,-6.823024175085992e-05
530013,21200.52,-8.703603802889957e-05
530014,21200.56,-0.0001026992679657
530015,21200.6,-0.0001194693619291
530016,21200.64,-0.0001361779759516
530017,21200.68,-0.0001501836514269
530018,21200.72,-0.0001610891002124
530019,21200.76,-0.0001686884458868
530020,21200.8,-0.0001719547483988
530021,21200.84,-0.0001721475967255
530022,21200.88,-0.0001686712306938
530023,21200.92,-0.000163839192772
530024,21200.96,-0.000158310274106
530025,21201.0,-0.0001526739956965
530026,21201.04,-0.0001455128463502
530027,21201.08,-0.000137965305847
530028,21201.12,-0.0001326202986218
530029,21201.16,-0.0001282206199921
530030,21201.2,-0.0001247132643492
530031,21201.24,-0.0001210583480212
530032,21201.28,-0.0001164392662335
530033,21201.32,-0.0001115719703021
530034,21201.36,-0.0001072011933817
530035,21201.4,-0.0001040387159045
530036,21201.44,-0.0001020254671046
530037,21201.48,-9.997295152790235e-05
530038,21201.52,-9.800454681161948e-05
530039,21201.56,-9.583684373208632e-05
530040,21201.6,-9.285463303267766e-05
530041,21201.64,-9.026356006988383e-05
530042,21201.68,-8.848706207751004e-05
530043,21201.72,-8.742378434619726e-05
530044,21201.76,-8.684357636834363e-05
530045,21201.8,-8.649808352170684e-05
530046,21201.84,-8.61786994932814e-05
530047,21201.88,-8.596608196891409e-05
530048,21201.92,-8.564910210740035e-05
530049,21201.96,-8.566710172499303e-05
530050,21202.0,-8.550963460870934e-05
530051,21202.04,-8.534529689277732e-05
530052,21202.08,-8.485568946307784e-05
530053,21202.12,-8.380242031156727e-05
530054,21202.16,-8.424629497117481e-05
530055,21202.2,-8.544232128746241e-05
530056,21202.24,-8.668842777595896e-05
530057,21202.28,-8.72066716162722e-05
530058,21202.32,-8.6808972215605e-05
530059,21202.36,-8.600575088657674e-05
530060,21202.4,-8.531734321819618e-05
530061,21202.44,-8.516497293354299e-05
530062,21202.48,-8.588485603427097e-05
530063,21202.52,-8.622115998709828e-05
530064,21202.56,-8.635499389749423e-05
530065,21202.6,-8.608137229154088e-05
530066,21202.64,-8.476177872476227e-05
530067,21202.68,-8.326955694435544e-05
530068,21202.72,-8.267599369528997e-05
530069,21202.76,-8.291875210649822e-05
530070,21202.8,-8.345972115374147e-05
530071,21202.84,-8.391226746832992e-05
530072,21202.88,-8.410915099082052e-05
530073,21202.92,-8.410990526631635e-05
530074,21202.96,-8.389647994449349e-05
530075,21203.0,-8.390044545879208e-05
530076,21203.04,-8.413498017924932e-05
530077,21203.08,-8.41759815408769e-05
530078,21203.12,-8.430644127725764e-05
530079,21203.16,-8.419352835441202e-05
530080,21203.2,-8.408173482128472e-05
530081,21203.24,-8.341695938513574e-05
530082,21203.28,-8.23331820136072e-05
530083,21203.32,-8.308620918367235e-05
530084,21203.36,-8.481195107291798e-05
530085,21203.4,-8.596268438326471e-05
530086,21203.44,-8.636425487617251e-05
530087,21203.48,-8.5252676457856e-05
530088,21203.52,-8.233063021926808e-05
530089,21203.56,-7.679617896476952e-05
530090,21203.6,-6.965122694102052e-05
530091,21203.64,-6.311824205579689e-05
530092,21203.68,-5.661538630609224e-05
530093,21203.72,-5.117406097775143e-05
530094,21203.76,-4.611997198855192e-05
530095,21203.8,-4.057824297950336e-05
530096,21203.84,-3.554840752245382e-05
530097,21203.88,-3.1727321676546365e-05
530098,21203.92,-2.87906781570826e-05
530099,21203.96,-2.6265023247610044e-05
530100,21204.0,-2.388228205443401e-05
530101,21204.04,-2.2152112394198234e-05
530102,21204.08,-2.01243213391367e-05
530103,21204.12,-1.740134886669165e-05
530104,21204.16,-1.618221158643515e-05
530105,21204.2,-1.6850437540305307e-05
